AgentID,SpawnZone,EscapeTime(s),ExitUsed,Seed,ActiveSigns
561,School Table,99.60,Exit_Sub2,0,10
555,Typical School Chair and Table 14,99.69,Exit_Sub3,0,10
586,School Table,99.93,Exit_Sub1,0,10
960,School Table,100.67,Exit_Sub_Main,0,10
460,School Table,101.09,Exit_Sub_Main,0,10
348,Typical School Chair and Table 8,101.54,Exit_Sub_Main,0,10
961,Typical School Chair and Table 5,101.88,Exit_Sub_Main,0,10
928,School Table,102.05,Exit_Sub1,0,10
801,Typical School Chair and Table,102.56,Exit_Sub_Main,0,10
579,School Table,102.63,Exit_Sub3,0,10
354,School Table,102.84,Exit_Sub2,0,10
915,School Table,102.92,Exit_Sub_Main,0,10
34,School Table,103.02,Exit_Sub2,0,10
84,Typical School Chair and Table 19,103.09,Exit_Sub1,0,10
426,Typical School Chair and Table 11,103.10,Exit_Sub_Main,0,10
941,School Table,103.16,Exit_Sub2,0,10
582,Typical School Chair and Table 12,103.29,Exit_Sub3,0,10
120,School Table,103.61,Exit_Sub3,0,10
483,School Table,103.71,Exit_Sub3,0,10
126,Typical School Chair and Table 12,103.80,Exit_Sub_Main,0,10
955,Typical School Chair and Table,104.29,Exit_Sub_Main,0,10
732,Typical School Chair and Table,104.46,Exit_Sub_Main,0,10
844,Typical School Chair and Table 7,104.91,Exit_Sub2,0,10
121,Typical School Chair and Table 20,105.82,Exit_Sub2,0,10
467,School Table,105.86,Exit_Sub2,0,10
494,Typical School Chair and Table 18,106.00,Exit_Sub2,0,10
163,School Table,106.00,Exit_Sub3,0,10
668,Typical School Chair and Table 1,106.18,Exit_Sub_Main,0,10
114,Group 8714,106.36,Exit_Sub_Main,0,10
256,School Table,106.37,Exit_Sub_Main,0,10
285,Typical School Chair and Table 15,106.78,Exit_Sub2,0,10
726,Typical School Chair and Table 20,106.78,Exit_Sub_Main,0,10
247,School Table,106.89,Exit_Sub2,0,10
286,Typical School Chair and Table 13,107.35,Exit_Sub_Main,0,10
488,School Table,107.38,Exit_Sub_Main,0,10
